,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,0.4105122386036875,0.5106077590595672,0.523737876410826,0.47746195783942097,0.4596752759466768,0.4398648277946627,0.38792897148317945,0.46936066322028636,0.4165003942722817,0.3997974349127148,0.4240646217001453,0.49261202446053415,0.39247910245076606,0.5101622948649397,0.3773387784038133,0.44593983939841325,0.4376959967524375,0.3982340792037836,0.48666655802802394
1,0.0,0.0,0.4041445728601969,0.4414421050750781,0.45205110976584767,0.3958463937577871,0.3967755136180499,0.49523738576317333,0.36569387592271263,0.4584581684348574,0.394856635980932,0.41044738018662186,0.4328240085392645,0.2840865507248848,0.4187107985130649,0.2858377616003756,0.4026033093702349,0.382240687845688,0.3696316938627865,0.47109160495355984
2,0.0,0.0,0.0,0.48885313805183556,0.42914109005630724,0.4309536338128553,0.4287131602297616,0.41385071173050036,0.48251620894386654,0.3992750611667809,0.38977305827503816,0.4023852759096612,0.4409387564285489,0.3282919855262989,0.4385223445863376,0.4059157214526619,0.437928103372059,0.4073695957764207,0.4144288223417055,0.4491598911811892
3,0.0,0.0,0.0,0.0,0.42801069531598634,0.43475186450246006,0.5028695442275237,0.4155595611199218,0.47467473764268175,0.46959284033593546,0.5049854982629585,0.49015404039206306,0.44802416585628346,0.3725796182564012,0.4164221941348531,0.3487724437906935,0.45876302042938516,0.4025258861365542,0.4793743381354698,0.4820844649015121
4,0.0,0.0,0.0,0.0,0.0,0.4503589399483851,0.4067071425918672,0.3974532836587705,0.3658519104689313,0.4595200629073828,0.39738027130688225,0.3843911165968653,0.45649689089955425,0.38347017948033235,0.4704796623847567,0.3415738720881369,0.43837963944595676,0.46704658023521745,0.3623537682685892,0.46590138391451663
5,0.0,0.0,0.0,0.0,0.0,0.0,0.4294645865845097,0.40800766389574294,0.42300727965725693,0.4866668030330439,0.42436804525229715,0.40798176345437837,0.43638525107716475,0.38004939836996887,0.5082232446493764,0.42339335622545937,0.5139673625197698,0.6025068243525245,0.39329684086922323,0.5075230426907315
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3980001506427908,0.3960119257453692,0.45296710209412105,0.4321353319354459,0.4911852155167983,0.4343345714282329,0.3202999316128817,0.4191960218755957,0.34682118350278035,0.40656011354827154,0.3904349448773872,0.4397940966693332,0.4308753405747344
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3859792448980246,0.4231805384806693,0.3903705739344309,0.3930142687158043,0.4419693050291204,0.28134906704740964,0.42769408851684554,0.321586688083631,0.39028333778051827,0.3966125284527625,0.42581972930772355,0.4373319562533904
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37326628022065816,0.37709529060704505,0.36918681392169106,0.4041543447397368,0.3125423381691419,0.3962225243567389,0.33326432765575875,0.4333916663299919,0.3858867524931502,0.41384918410750765,0.44790953089096397
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4866403957012998,0.5053570997744974,0.43161693385159305,0.3116536344723038,0.45124068949921214,0.32747646258463936,0.4591396888195575,0.46739513445345515,0.4504056442723058,0.47829125457418686
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419385187547759,0.38980329408209025,0.3587065893511453,0.42045855668386306,0.3500308075761693,0.4025175507062342,0.3926054847920394,0.4119638543957396,0.4538793653114925
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41657618705618693,0.29569469122276326,0.3944569492040129,0.31246141303206193,0.4223655713528978,0.3827888107764257,0.44439454382646537,0.48565076027015086
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3675725810015693,0.4351294715129778,0.3869034024142045,0.41307596159489207,0.41951352607778514,0.38388506129238126,0.48861314287899554
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47551649549070896,0.4392951865045809,0.47566003368396853,0.4228236508183739,0.29680841123913126,0.3618478707750054
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6530178240203021,0.5316729662258451,0.6250360917909579,0.381215278257172,0.4805892162825211
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44529887775291555,0.5252470954997928,0.3347351876749731,0.3560938434045788
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5049780180484674,0.42544659795747874,0.5098496726455809
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3652404754728392,0.489179115589644
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4277152120404773
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
